Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C2,100n,C_0603_1608Metric,346.075,-106.058,-90,top
C4,4.7u,C_0603_1608Metric,361.315,-106.045,90,top
C5,100n,C_0603_1608Metric,243.84,-106.045,-90,top
C6,100n,C_0603_1608Metric,142.494,-106.045,-90,top
C7,4.7u,C_0603_1608Metric,259.715,-106.045,90,top
C8,4.7u,C_0603_1608Metric,158.369,-106.045,90,top
C9,100n,C_0603_1608Metric,40.894,-106.045,-90,top
C11,4.7u,C_0603_1608Metric,56.515,-106.045,90,top
R1,10k,R_0603_1608Metric,359.41,-124.714,-90,top
R2,10k,R_0603_1608Metric,368.3,-124.714,-90,top
R3,10k,R_0603_1608Metric,363.982,-124.714,-90,top
R4,10k,R_0603_1608Metric,372.745,-124.714,-90,top
R5,10k,R_0603_1608Metric,281.813,-124.6632,-90,top
R6,10k,R_0603_1608Metric,286.258,-124.6632,-90,top
R7,10k,R_0603_1608Metric,308.864,-124.714,-90,top
R8,10k,R_0603_1608Metric,290.703,-124.6632,-90,top
R9,10k,R_0603_1608Metric,322.9102,-124.6754,-90,top
R10,10k,R_0603_1608Metric,295.148,-124.6632,-90,top
R11,10k,R_0603_1608Metric,313.309,-124.714,-90,top
R12,10k,R_0603_1608Metric,318.4652,-124.6754,-90,top
R13,1k,R_0603_1608Metric,277.0124,-124.6632,-90,top
R14,1k,R_0603_1608Metric,272.4912,-124.714,-90,top
R15,1k,R_0603_1608Metric,371.094,-135.636,180,top
R16,1k,R_0603_1608Metric,371.094,-147.701,180,top
R17,500,R_0603_1608Metric,364.299,-142.24,-90,top
U2,VL53L4CD,ST_VL53L1x,353.822,-106.045,180,top
U3,VL53L4CD,ST_VL53L1x,251.968,-106.045,180,top
U4,VL53L4CD,ST_VL53L1x,150.495,-106.045,180,top
U5,VL53L4CD,ST_VL53L1x,48.768,-106.045,180,top
U7,SN74LVC1T45DCK,SOT-363_SC-70-6,371.094,-141.986,0,top
